15	11	E	-2.1677537426956388E8	200
probinit	1	0.0013333344055505086
probinit	2	0.001333336097975679
probinit	3	0.0013333360440295897
probinit	4	0.9813332803131519
probinit	5	0.0013333342966838095
probinit	6	0.0013333397884790937
probinit	7	0.0013333390192534187
probinit	8	0.0013333364725761627
probinit	9	0.0013333353466141824
probinit	10	0.0013333411676238593
probinit	11	0.0013333385307159665
probinit	12	0.001333335133379083
probinit	13	0.0013333408494789036
probinit	14	0.0013333362016139793
probinit	15	0.001333336332873881
transitionprobs	1	1	0.8927572015682813
transitionprobs	1	2	0.017774104931622608
transitionprobs	1	3	9.774614567844321E-4
transitionprobs	1	4	0.07791423481487747
transitionprobs	1	5	0.002015354650875995
transitionprobs	1	6	6.674356106181128E-4
transitionprobs	1	7	1.0390089570892674E-4
transitionprobs	1	8	0.0019799266764176666
transitionprobs	1	9	4.1431262379807186E-4
transitionprobs	1	10	9.223609765100123E-5
transitionprobs	1	11	2.006988644561967E-4
transitionprobs	1	12	4.0114422931493985E-4
transitionprobs	1	13	1.394526734730741E-4
transitionprobs	1	14	0.001258124775905609
transitionprobs	1	15	0.0033044101302146674
transitionprobs	2	1	0.06790640363637
transitionprobs	2	2	0.8688064002629459
transitionprobs	2	3	0.028676343799831628
transitionprobs	2	4	0.014465810468045424
transitionprobs	2	5	0.00281213463022461
transitionprobs	2	6	0.004142835515285388
transitionprobs	2	7	7.665281325622323E-5
transitionprobs	2	8	0.0012245074394169905
transitionprobs	2	9	4.261506463562031E-4
transitionprobs	2	10	1.7994669246019989E-4
transitionprobs	2	11	4.574386567958681E-5
transitionprobs	2	12	3.2408325141510474E-4
transitionprobs	2	13	0.007545264027268629
transitionprobs	2	14	7.273410620377877E-4
transitionprobs	2	15	0.002640381889406475
transitionprobs	3	1	0.0013222487283339644
transitionprobs	3	2	0.010968680259028009
transitionprobs	3	3	0.880683519665728
transitionprobs	3	4	0.06990251487672215
transitionprobs	3	5	0.001251043833422008
transitionprobs	3	6	0.003793253003665534
transitionprobs	3	7	7.218552991561502E-4
transitionprobs	3	8	0.002898864359526968
transitionprobs	3	9	0.0013774384847269725
transitionprobs	3	10	2.4933138821542475E-4
transitionprobs	3	11	2.4018395442991267E-4
transitionprobs	3	12	0.001966487501518038
transitionprobs	3	13	0.015659147505552706
transitionprobs	3	14	0.005535518151154457
transitionprobs	3	15	0.0034299129888197156
transitionprobs	4	1	0.0011428985920683109
transitionprobs	4	2	7.608518602001419E-5
transitionprobs	4	3	7.35214768575355E-4
transitionprobs	4	4	0.9935732548892129
transitionprobs	4	5	0.001463184201397218
transitionprobs	4	6	2.4374245294918198E-5
transitionprobs	4	7	1.341514713541418E-4
transitionprobs	4	8	5.205016301159495E-4
transitionprobs	4	9	1.5291357023109053E-4
transitionprobs	4	10	9.94216904420183E-6
transitionprobs	4	11	1.6506505015230556E-4
transitionprobs	4	12	0.0011270577267917129
transitionprobs	4	13	7.3714109511857525E-6
transitionprobs	4	14	3.875967965719265E-4
transitionprobs	4	15	4.803882922185515E-4
transitionprobs	5	1	0.0011504010770951591
transitionprobs	5	2	4.1031993221468297E-4
transitionprobs	5	3	8.384130106183928E-4
transitionprobs	5	4	0.12360069714319012
transitionprobs	5	5	0.8488139036648471
transitionprobs	5	6	0.003488423318184059
transitionprobs	5	7	0.012866839111887685
transitionprobs	5	8	0.002976763794305844
