chrom	start	end	region_id	values
chr1	886922	886923	random_0	neutral
chr1	942066	942067	peak_1979	activating
chr1	1107092	1107093	random_1	neutral
chr1	1171579	1171580	random_2	neutral
chr1	1200440	1200441	peak_1925	activating
chr1	1230756	1230757	random_3	neutral
chr1	1373054	1373055	random_4	neutral
chr1	1566458	1566459	random_5	neutral
chr1	1672661	1672662	peak_4694	activating
chr1	1838838	1838839	random_6	neutral
chr1	1847031	1847032	random_7	neutral
chr1	2029688	2029689	peak_128	activating
chr1	2111891	2111892	peak_201	activating
chr1	2289980	2289981	random_8	neutral
chr1	2328950	2328951	random_9	neutral
chr1	2461628	2461629	random_10	neutral
chr1	2490758	2490759	random_11	neutral
chr1	2701405	2701406	random_12	neutral
chr1	2797944	2797945	random_13	neutral
chr1	2891178	2891179	peak_1643	activating
chr1	2912104	2912105	random_14	neutral
chr1	3007429	3007430	random_15	neutral
chr1	3051540	3051541	random_16	neutral
chr1	3081643	3081644	peak_2883	activating
chr1	3148541	3148542	random_17	neutral
chr1	3174810	3174811	random_18	neutral
chr1	3252207	3252208	random_19	neutral
chr1	3385197	3385198	random_20	neutral
chr1	3421168	3421169	peak_3728	activating
chr1	3436339	3436340	random_21	neutral
chr1	3506180	3506181	random_22	neutral
chr1	3546918	3546919	random_23	neutral
chr1	3665011	3665012	random_24	neutral
chr1	3694787	3694788	random_25	neutral
chr1	4008605	4008606	peak_6657	activating
chr1	4170338	4170339	random_26	neutral
chr1	4179113	4179114	random_27	neutral
chr1	4237662	4237663	peak_3631	activating
chr1	4292149	4292150	random_28	neutral
chr1	4403012	4403013	peak_4364	activating
chr1	4440808	4440809	peak_6946	activating
chr1	4591210	4591211	peak_5315	activating
chr1	4763110	4763111	peak_2040	activating
chr1	4948871	4948872	random_29	neutral
chr1	5088343	5088344	random_30	neutral
chr1	5120759	5120760	random_31	neutral
chr1	5144059	5144060	peak_1500	activating
chr1	5158051	5158052	random_32	neutral
chr1	5358109	5358110	peak_4737	activating
chr1	5373126	5373127	peak_5832	activating
chr1	5393559	5393560	peak_1061	activating
chr1	5417228	5417229	random_33	neutral
chr1	5613548	5613549	random_34	neutral
chr1	5631218	5631219	peak_1764	activating
chr1	5662670	5662671	random_35	neutral
chr1	5672066	5672067	peak_6999	activating
chr1	5770803	5770804	random_36	neutral
chr1	5840156	5840157	peak_2142	activating
chr1	5923331	5923332	random_37	neutral
chr1	5977960	5977961	peak_1709	activating
chr1	6025692	6025693	peak_4118	activating
chr1	6134505	6134506	peak_1292	activating
chr1	6217956	6217957	peak_4884	activating
chr1	6446480	6446481	random_38	neutral
chr1	6474709	6474710	peak_1286	activating
chr1	6507453	6507454	random_39	neutral
chr1	6509131	6509132	random_40	neutral
chr1	6661310	6661311	peak_804	activating
chr1	6687498	6687499	random_41	neutral
chr1	6924913	6924914	peak_6840	activating
chr1	7052572	7052573	random_42	neutral
chr1	7066897	7066898	random_43	neutral
chr1	7128035	7128036	random_44	neutral
chr1	7166360	7166361	random_45	neutral
chr1	7207509	7207510	random_46	neutral
chr1	7252039	7252040	random_47	neutral
chr1	7327759	7327760	peak_2836	activating
chr1	7462008	7462009	peak_81	activating
chr1	7577658	7577659	random_48	neutral
chr1	7861599	7861600	random_49	neutral
chr1	7929815	7929816	peak_5013	activating
chr1	8037018	8037019	random_50	neutral
chr1	8121554	8121555	peak_2895	activating
chr1	8289808	8289809	random_51	neutral
chr1	8419621	8419622	random_52	neutral
chr1	8421806	8421807	random_53	neutral
chr1	8469450	8469451	random_54	neutral
chr1	8470350	8470351	random_55	neutral
chr1	8599446	8599447	random_56	neutral
chr1	8746386	8746387	random_57	neutral
chr1	8900207	8900208	peak_4907	activating
chr1	9038566	9038567	random_58	neutral
