chrom	start	end	region_id	values
chr1	1055704	1055705	chr1.86_top_two	neutral
chr1	1830771	1830772	chr1.337_top_two	neutral
chr1	1975274	1975275	chr1.384_top_two	neutral
chr1	2158181	2158182	chr1.452_top_two	neutral
chr1	2800359	2800360	chr1.640_top_two	neutral
chr1	2929277	2929278	chr1.663_top_two	neutral
chr1	3720689	3720690	chr1.953_top_two	neutral
chr1	3721782	3721783	chr1.954_top_two	neutral
chr1	4036071	4036072	chr1.979_top_two	neutral
chr1	4038224	4038225	chr1.981_top_two	neutral
chr1	4046846	4046847	chr1.982_top_two	neutral
chr1	4187080	4187081	chr1.994_top_two	neutral
chr1	4422860	4422861	chr1.1008_top_two	neutral
chr1	5364930	5364931	chr1.1034_top_two	neutral
chr1	8258006	8258007	chr1.1432_top_two	neutral
chr1	8918318	8918319	chr1.1482_top_two	neutral
chr1	8960141	8960142	chr1.1488_top_two	neutral
chr1	9205451	9205452	chr1.1505_top_two	neutral
chr1	10448022	10448023	chr1.1637_top_two	neutral
chr1	10965356	10965357	chr1.1778_top_two	neutral
chr1	10966033	10966034	chr1.1779_top_two	neutral
chr1	11789864	11789865	chr1.1900_top_two	neutral
chr1	11791967	11791968	chr1.1901_top_two	neutral
chr1	11942269	11942270	chr1.1933_top_two	neutral
chr1	11943132	11943133	chr1.1934_top_two	neutral
chr1	12074990	12074991	chr1.1953_top_two	neutral
chr1	12222103	12222104	chr1.1981_top_two	neutral
chr1	12278740	12278741	chr1.1999_top_two	neutral
chr1	12680723	12680724	chr1.2043_top_two	neutral
chr1	16001494	16001495	chr1.2237_top_two	neutral
chr1	16121792	16121793	chr1.2267_top_two	neutral
chr1	16158598	16158599	chr1.2271_top_two	neutral
chr1	16490859	16490860	chr1.2364_top_two	neutral
chr1	17004733	17004734	chr1.2415_top_two	neutral
chr1	17729770	17729771	chr1.2535_top_two	neutral
chr1	17768036	17768037	chr1.2545_top_two	neutral
chr1	17814507	17814508	chr1.2549_top_two	neutral
chr1	17815692	17815693	chr1.2550_top_two	neutral
chr1	17865078	17865079	chr1.2555_top_two	neutral
chr1	18739490	18739491	chr1.2647_top_two	neutral
chr1	18884219	18884220	chr1.2656_top_two	neutral
chr1	19330120	19330121	chr1.2734_top_two	neutral
chr1	19814385	19814386	chr1.2803_top_two	neutral
chr1	20196675	20196676	chr1.2839_top_two	neutral
chr1	20335158	20335159	chr1.2845_top_two	neutral
chr1	20524124	20524125	chr1.2872_top_two	neutral
chr1	20525781	20525782	chr1.2873_top_two	neutral
chr1	20543314	20543315	chr1.2876_top_two	neutral
chr1	21680140	21680141	chr1.2988_top_two	neutral
chr1	21999857	21999858	chr1.3055_top_two	neutral
chr1	22002744	22002745	chr1.3056_top_two	neutral
chr1	22118203	22118204	chr1.3063_top_two	neutral
chr1	22290617	22290618	chr1.3124_top_two	neutral
chr1	22345774	22345775	chr1.3133_top_two	neutral
chr1	22366457	22366458	chr1.3136_top_two	neutral
chr1	22375364	22375365	chr1.3138_top_two	neutral
chr1	22511850	22511851	chr1.3168_top_two	neutral
chr1	22613152	22613153	chr1.3186_top_two	neutral
chr1	22859219	22859220	chr1.3216_top_two	neutral
chr1	23866479	23866480	chr1.3349_top_two	neutral
chr1	23881381	23881382	chr1.3351_top_two	neutral
chr1	23889007	23889008	chr1.3354_top_two	neutral
chr1	24042848	24042849	chr1.3369_top_two	neutral
chr1	24246797	24246798	chr1.3402_top_two	neutral
chr1	24247303	24247304	chr1.3403_top_two	neutral
chr1	25068854	25068855	chr1.3495_top_two	neutral
chr1	25563962	25563963	chr1.3588_top_two	neutral
chr1	26260175	26260176	chr1.3691_second_two	neutral
chr1	26260175	26260176	chr1.3691_top_two	neutral
chr1	26431516	26431517	chr1.3722_top_two	neutral
chr1	26455963	26455964	chr1.3726_top_two	neutral
chr1	26465629	26465630	chr1.3728_top_two	neutral
chr1	26703461	26703462	chr1.3774_top_two	neutral
