chrom	start	end	region_id	values
chr1	886922	886923	random_0	neutral
chr1	1171579	1171580	random_1	neutral
chr1	1373054	1373055	random_2	neutral
chr1	1425338	1425339	random_3	neutral
chr1	1838838	1838839	random_4	neutral
chr1	2029673	2029674	peak_72	activating
chr1	2111987	2111988	peak_1465	activating
chr1	2115197	2115198	peak_1133	activating
chr1	2461628	2461629	random_5	neutral
chr1	2490758	2490759	random_6	neutral
chr1	2701405	2701406	random_7	neutral
chr1	3007429	3007430	random_8	neutral
chr1	3051540	3051541	random_9	neutral
chr1	3174810	3174811	random_10	neutral
chr1	3252207	3252208	random_11	neutral
chr1	3385197	3385198	random_12	neutral
chr1	3436339	3436340	random_13	neutral
chr1	3665011	3665012	random_14	neutral
chr1	4179113	4179114	random_15	neutral
chr1	4237609	4237610	peak_940	activating
chr1	4292149	4292150	random_16	neutral
chr1	4327614	4327615	peak_428	activating
chr1	4591227	4591228	peak_3645	activating
chr1	4820792	4820793	random_17	neutral
chr1	4948871	4948872	random_18	neutral
chr1	5023539	5023540	peak_3478	activating
chr1	5088343	5088344	random_19	neutral
chr1	5120759	5120760	random_20	neutral
chr1	5144064	5144065	peak_2301	activating
chr1	5158051	5158052	random_21	neutral
chr1	5393559	5393560	peak_620	activating
chr1	5417228	5417229	random_22	neutral
chr1	5613548	5613549	random_23	neutral
chr1	5662670	5662671	random_24	neutral
chr1	5833255	5833256	random_25	neutral
chr1	5840213	5840214	peak_4952	activating
chr1	5948842	5948843	peak_4447	activating
chr1	6015674	6015675	peak_4690	activating
chr1	6100703	6100704	random_26	neutral
chr1	6377563	6377564	peak_1848	activating
chr1	6507453	6507454	random_27	neutral
chr1	6509131	6509132	random_28	neutral
chr1	6551916	6551917	peak_2095	activating
chr1	6687498	6687499	random_29	neutral
chr1	7052572	7052573	random_30	neutral
chr1	7066897	7066898	random_31	neutral
chr1	7166360	7166361	random_32	neutral
chr1	7252039	7252040	random_33	neutral
chr1	7325955	7325956	peak_1205	activating
chr1	7327760	7327761	peak_345	activating
chr1	7577658	7577659	random_34	neutral
chr1	7669151	7669152	peak_2486	activating
chr1	7823201	7823202	random_35	neutral
chr1	7861599	7861600	random_36	neutral
chr1	8037018	8037019	random_37	neutral
chr1	8254759	8254760	peak_3541	activating
chr1	8289808	8289809	random_38	neutral
chr1	8419621	8419622	random_39	neutral
chr1	8421806	8421807	random_40	neutral
chr1	8599446	8599447	random_41	neutral
chr1	8746386	8746387	random_42	neutral
chr1	8800372	8800373	peak_4467	activating
chr1	9038566	9038567	random_43	neutral
chr1	9205510	9205511	peak_4306	activating
chr1	9224195	9224196	peak_1991	activating
chr1	9293531	9293532	peak_3962	activating
chr1	9328585	9328586	random_44	neutral
chr1	9382090	9382091	random_45	neutral
chr1	9409723	9409724	random_46	neutral
chr1	9536513	9536514	random_47	neutral
chr1	9621816	9621817	random_48	neutral
chr1	9687838	9687839	random_49	neutral
chr1	9774772	9774773	random_50	neutral
chr1	10084278	10084279	random_51	neutral
chr1	10150344	10150345	peak_4551	activating
chr1	10285875	10285876	random_52	neutral
chr1	10590500	10590501	random_53	neutral
chr1	10627873	10627874	random_54	neutral
chr1	10723119	10723120	random_55	neutral
chr1	10792135	10792136	random_56	neutral
chr1	10818050	10818051	random_57	neutral
chr1	10856625	10856626	random_58	neutral
chr1	10885251	10885252	random_59	neutral
chr1	11021687	11021688	random_60	neutral
chr1	11196734	11196735	random_61	neutral
chr1	11271887	11271888	random_62	neutral
chr1	11431999	11432000	random_63	neutral
chr1	11534131	11534132	random_64	neutral
chr1	11606095	11606096	random_65	neutral
chr1	11928276	11928277	random_66	neutral
chr1	11928548	11928549	random_67	neutral
chr1	12267307	12267308	peak_1854	activating
chr1	12319627	12319628	random_68	neutral
chr1	12411417	12411418	random_69	neutral
chr1	12446343	12446344	peak_5294	activating
chr1	12471220	12471221	random_70	neutral
chr1	12498925	12498926	random_71	neutral
chr1	12513254	12513255	random_72	neutral
chr1	12588693	12588694	peak_4892	activating
chr1	12664555	12664556	peak_4100	activating
chr1	12755179	12755180	random_73	neutral
chr1	12911702	12911703	peak_4552	activating
chr1	13063273	13063274	random_74	neutral
chr1	13125437	13125438	random_75	neutral
chr1	13190302	13190303	random_76	neutral
chr1	13219923	13219924	random_77	neutral
chr1	13506843	13506844	random_78	neutral
chr1	13682564	13682565	random_79	neutral
chr1	13856061	13856062	random_80	neutral
chr1	13874111	13874112	random_81	neutral
chr1	13950830	13950831	random_82	neutral
chr1	14080490	14080491	random_83	neutral
chr1	14110385	14110386	random_84	neutral
chr1	14273588	14273589	random_85	neutral
chr1	14357076	14357077	random_86	neutral
chr1	14707732	14707733	random_87	neutral
chr1	14891776	14891777	random_88	neutral
chr1	15053459	15053460	random_89	neutral
chr1	15068862	15068863	peak_894	activating
chr1	15123570	15123571	random_90	neutral
chr1	15213536	15213537	random_91	neutral
chr1	15234147	15234148	peak_674	activating
chr1	15275312	15275313	random_92	neutral
chr1	15286778	15286779	random_93	neutral
chr1	15295351	15295352	random_94	neutral
chr1	15353667	15353668	random_95	neutral
chr1	15373241	15373242	peak_1769	activating
chr1	15622891	15622892	random_96	neutral
chr1	15633229	15633230	random_97	neutral
chr1	15759644	15759645	peak_1658	activating
chr1	16076218	16076219	peak_2797	activating
chr1	16219771	16219772	peak_2666	activating
chr1	16224444	16224445	peak_2446	activating
chr1	16264252	16264253	peak_822	activating
chr1	16279454	16279455	peak_5291	activating
chr1	16283379	16283380	random_98	neutral
chr1	16452804	16452805	random_99	neutral
chr1	16489937	16489938	random_100	neutral
chr1	17341361	17341362	random_101	neutral
chr1	17496400	17496401	random_102	neutral
chr1	17576895	17576896	random_103	neutral
chr1	17748261	17748262	random_104	neutral
chr1	17815665	17815666	random_105	neutral
chr1	17896306	17896307	peak_2270	activating
chr1	18101474	18101475	random_106	neutral
chr1	18130781	18130782	random_107	neutral
chr1	18419171	18419172	random_108	neutral
chr1	18519135	18519136	random_109	neutral
chr1	19113577	19113578	random_110	neutral
chr1	19184892	19184893	random_111	neutral
chr1	19701101	19701102	random_112	neutral
chr1	20031463	20031464	random_113	neutral
chr1	20252009	20252010	peak_4697	activating
chr1	20253290	20253291	peak_1834	activating
chr1	20301255	20301256	random_114	neutral
chr1	20417408	20417409	random_115	neutral
chr1	20512041	20512042	peak_2768	activating
chr1	20927811	20927812	random_116	neutral
chr1	20943545	20943546	random_117	neutral
chr1	21059775	21059776	peak_2667	activating
chr1	21348944	21348945	peak_4107	activating
chr1	21376230	21376231	random_118	neutral
chr1	21588442	21588443	peak_4322	activating
chr1	21674387	21674388	random_119	neutral
chr1	21816894	21816895	random_120	neutral
chr1	21946666	21946667	random_121	neutral
chr1	21988198	21988199	random_122	neutral
chr1	22299571	22299572	peak_4210	activating
chr1	22301444	22301445	peak_1574	activating
chr1	22675043	22675044	peak_3508	activating
chr1	22706989	22706990	peak_1689	activating
chr1	22850973	22850974	random_123	neutral
chr1	22904756	22904757	random_124	neutral
chr1	22917499	22917500	random_125	neutral
chr1	22925077	22925078	random_126	neutral
chr1	22955273	22955274	random_127	neutral
chr1	23158694	23158695	peak_3166	activating
chr1	23410374	23410375	random_128	neutral
chr1	23531974	23531975	random_129	neutral
chr1	23563900	23563901	random_130	neutral
chr1	23703996	23703997	peak_4197	activating
chr1	23704476	23704477	random_131	neutral
chr1	23717312	23717313	random_132	neutral
chr1	23903703	23903704	peak_4185	activating
chr1	24229980	24229981	random_133	neutral
chr1	24364407	24364408	random_134	neutral
chr1	24474015	24474016	random_135	neutral
chr1	24759921	24759922	random_136	neutral
chr1	24789127	24789128	random_137	neutral
chr1	25125765	25125766	random_138	neutral
chr1	25237817	25237818	peak_4880	activating
chr1	25298923	25298924	peak_4503	activating
chr1	25495170	25495171	peak_3401	activating
chr1	25895544	25895545	peak_3037	activating
chr1	26094986	26094987	random_139	neutral
chr1	26324855	26324856	peak_5282	activating
chr1	26562263	26562264	random_140	neutral
chr1	26569862	26569863	random_141	neutral
chr1	26633535	26633536	random_142	neutral
chr1	26677490	26677491	peak_1961	activating
chr1	26812442	26812443	random_143	neutral
chr1	26882382	26882383	peak_1290	activating
chr1	27091699	27091700	random_144	neutral
chr1	27120890	27120891	random_145	neutral
chr1	27199082	27199083	peak_859	activating
chr1	27317303	27317304	peak_481	activating
chr1	27400883	27400884	peak_4028	activating
chr1	27518693	27518694	peak_4317	activating
chr1	27626714	27626715	peak_4139	activating
chr1	27676285	27676286	random_146	neutral
chr1	27744935	27744936	peak_2420	activating
chr1	27758591	27758592	random_147	neutral
chr1	27895525	27895526	random_148	neutral
chr1	27945564	27945565	random_149	neutral
chr1	28009061	28009062	peak_4244	activating
chr1	28422861	28422862	peak_3026	activating
chr1	28439411	28439412	peak_430	activating
chr1	28628696	28628697	random_150	neutral
chr1	28672899	28672900	peak_3018	activating
chr1	28788712	28788713	random_151	neutral
chr1	28895108	28895109	random_152	neutral
chr1	28920298	28920299	peak_1454	activating
chr1	28949747	28949748	random_153	neutral
chr1	29378028	29378029	random_154	neutral
chr1	29627390	29627391	random_155	neutral
chr1	29878063	29878064	random_156	neutral
chr1	29924382	29924383	random_157	neutral
chr1	30036594	30036595	peak_1796	activating
chr1	30114965	30114966	random_158	neutral
chr1	30182593	30182594	peak_984	activating
chr1	30357500	30357501	random_159	neutral
chr1	30447347	30447348	peak_15	activating
chr1	30481977	30481978	peak_1221	activating
chr1	30556899	30556900	peak_471	activating
chr1	30702997	30702998	peak_2011	activating
chr1	30904743	30904744	random_160	neutral
chr1	31155062	31155063	random_161	neutral
chr1	31221097	31221098	peak_1652	activating
chr1	31234782	31234783	random_162	neutral
chr1	31295915	31295916	random_163	neutral
chr1	31359337	31359338	random_164	neutral
chr1	31547272	31547273	random_165	neutral
chr1	31646627	31646628	random_166	neutral
chr1	31704567	31704568	random_167	neutral
chr1	31917754	31917755	peak_2184	activating
chr1	31926792	31926793	peak_842	activating
chr1	31944646	31944647	peak_275	activating
chr1	31974836	31974837	peak_3935	activating
chr1	32166880	32166881	peak_1445	activating
chr1	32264501	32264502	peak_4060	activating
chr1	32341306	32341307	random_168	neutral
chr1	32715843	32715844	peak_2522	activating
chr1	32777460	32777461	random_169	neutral
chr1	32787597	32787598	peak_67	activating
chr1	32815791	32815792	random_170	neutral
chr1	32823124	32823125	random_171	neutral
chr1	32925037	32925038	random_172	neutral
chr1	33158280	33158281	random_173	neutral
chr1	33195739	33195740	peak_4425	activating
chr1	33225884	33225885	peak_3870	activating
chr1	33234779	33234780	random_174	neutral
chr1	33446532	33446533	random_175	neutral
chr1	33455860	33455861	random_176	neutral
chr1	33616571	33616572	random_177	neutral
chr1	33665060	33665061	random_178	neutral
chr1	33731048	33731049	random_179	neutral
chr1	33808007	33808008	peak_2703	activating
chr1	33831311	33831312	random_180	neutral
chr1	33899513	33899514	peak_2134	activating
chr1	33982223	33982224	peak_5070	activating
chr1	34304448	34304449	random_181	neutral
chr1	34619407	34619408	random_182	neutral
chr1	34665667	34665668	peak_773	activating
chr1	34750364	34750365	random_183	neutral
chr1	34844754	34844755	peak_3689	activating
chr1	34863639	34863640	random_184	neutral
chr1	35014508	35014509	random_185	neutral
chr1	35339422	35339423	random_186	neutral
chr1	35532637	35532638	random_187	neutral
chr1	35884110	35884111	random_188	neutral
chr1	35896182	35896183	random_189	neutral
chr1	36027543	36027544	random_190	neutral
chr1	36168979	36168980	random_191	neutral
chr1	36230516	36230517	random_192	neutral
chr1	36380390	36380391	random_193	neutral
chr1	36474359	36474360	peak_4105	activating
chr1	36662318	36662319	random_194	neutral
chr1	36721789	36721790	random_195	neutral
chr1	36839606	36839607	peak_3120	activating
chr1	37041242	37041243	random_196	neutral
chr1	37045483	37045484	random_197	neutral
chr1	37061964	37061965	random_198	neutral
chr1	37108198	37108199	random_199	neutral
chr1	37218813	37218814	random_200	neutral
chr1	37226851	37226852	peak_1623	activating
chr1	37388442	37388443	random_201	neutral
chr1	37566150	37566151	peak_1371	activating
chr1	37575722	37575723	random_202	neutral
chr1	37611491	37611492	random_203	neutral
chr1	37634131	37634132	random_204	neutral
chr1	37734854	37734855	random_205	neutral
chr1	37920159	37920160	random_206	neutral
chr1	37945424	37945425	peak_5058	activating
chr1	37951449	37951450	random_207	neutral
chr1	38000251	38000252	peak_116	activating
chr1	38193369	38193370	random_208	neutral
chr1	38386331	38386332	random_209	neutral
chr1	38465417	38465418	peak_861	activating
chr1	38466337	38466338	peak_4058	activating
chr1	38505724	38505725	random_210	neutral
chr1	38518060	38518061	random_211	neutral
chr1	38637046	38637047	peak_3583	activating
chr1	38714335	38714336	random_212	neutral
chr1	39649620	39649621	peak_1338	activating
chr1	39657980	39657981	peak_3561	activating
chr1	39917141	39917142	peak_5253	activating
chr1	39931484	39931485	random_213	neutral
chr1	39987946	39987947	random_214	neutral
chr1	40161396	40161397	random_215	neutral
chr1	40227179	40227180	random_216	neutral
chr1	40265790	40265791	peak_1188	activating
chr1	40367946	40367947	random_217	neutral
chr1	40399694	40399695	random_218	neutral
chr1	40426630	40426631	random_219	neutral
chr1	40455438	40455439	random_220	neutral
chr1	40700466	40700467	random_221	neutral
chr1	40827755	40827756	random_222	neutral
chr1	40839500	40839501	random_223	neutral
chr1	40945113	40945114	random_224	neutral
chr1	41215448	41215449	random_225	neutral
chr1	41314950	41314951	random_226	neutral
chr1	41323583	41323584	random_227	neutral
chr1	41341583	41341584	peak_3355	activating
chr1	41488053	41488054	random_228	neutral
chr1	41692714	41692715	random_229	neutral
chr1	41782471	41782472	random_230	neutral
chr1	41884330	41884331	random_231	neutral
chr1	41889570	41889571	random_232	neutral
chr1	41901420	41901421	peak_1499	activating
chr1	41947978	41947979	peak_5138	activating
chr1	41958864	41958865	peak_4755	activating
chr1	42085693	42085694	random_233	neutral
chr1	42189513	42189514	random_234	neutral
chr1	42429791	42429792	peak_2365	activating
chr1	42733115	42733116	random_235	neutral
chr1	42790730	42790731	random_236	neutral
chr1	42905654	42905655	peak_1742	activating
chr1	42971074	42971075	random_237	neutral
chr1	42998970	42998971	peak_4859	activating
chr1	43022518	43022519	random_238	neutral
chr1	43022605	43022606	random_239	neutral
chr1	43084277	43084278	random_240	neutral
chr1	43085767	43085768	random_241	neutral
chr1	43179223	43179224	random_242	neutral
chr1	43220522	43220523	random_243	neutral
chr1	43437908	43437909	random_244	neutral
chr1	43446259	43446260	peak_3856	activating
chr1	43530504	43530505	random_245	neutral
chr1	43544695	43544696	random_246	neutral
chr1	43546398	43546399	random_247	neutral
chr1	43692670	43692671	random_248	neutral
chr1	43819643	43819644	random_249	neutral
chr1	43838971	43838972	peak_146	activating
