chrom	start	end	region_id	values
chr1	948804	948805	hidraDriver_0	activating
chr1	1710413	1710414	hidraDriver_3	activating
chr1	2488002	2488003	hidraDriver_6	activating
chr1	2508236	2508237	rand_tiled_nonactive_5	neutral
chr1	2508942	2508943	rand_tiled_nonactive_6	neutral
chr1	2509426	2509427	rand_tiled_nonactive_7	neutral
chr1	2509793	2509794	hidraDriver_7	activating
chr1	2509992	2509993	hidraDriver_8	activating
chr1	3573221	3573222	rand_tiled_nonactive_9	neutral
chr1	3590266	3590267	hidraDriver_9	activating
chr1	3590391	3590392	hidraDriver_10	activating
chr1	3590575	3590576	hidraDriver_11	activating
chr1	6419901	6419902	hidraDriver_14	activating
chr1	6639518	6639519	rand_tiled_nonactive_14	neutral
chr1	6660852	6660853	rand_tiled_nonactive_15	neutral
chr1	6661913	6661914	hidraDriver_16	activating
chr1	6663410	6663411	rand_tiled_nonactive_16	neutral
chr1	6921510	6921511	rand_tiled_nonactive_18	neutral
chr1	8458061	8458062	rand_tiled_nonactive_20	neutral
chr1	8488015	8488016	rand_tiled_nonactive_22	neutral
chr1	8488637	8488638	rand_tiled_nonactive_23	neutral
chr1	9473869	9473870	hidraDriver_17	activating
chr1	9485999	9486000	rand_tiled_nonactive_29	neutral
chr1	10093302	10093303	rand_tiled_nonactive_31	neutral
chr1	10533061	10533062	rand_tiled_nonactive_32	neutral
chr1	11323049	11323050	rand_tiled_nonactive_33	neutral
chr1	12139440	12139441	hidraDriver_25	activating
chr1	12211731	12211732	rand_tiled_nonactive_36	neutral
chr1	12212020	12212021	rand_tiled_nonactive_37	neutral
chr1	12212393	12212394	rand_tiled_nonactive_38	neutral
chr1	12213121	12213122	rand_tiled_nonactive_39	neutral
chr1	14029405	14029406	hidraDriver_27	activating
chr1	14029436	14029437	hidraDriver_28	activating
chr1	14029526	14029527	hidraDriver_29	activating
chr1	14057046	14057047	rand_tiled_nonactive_42	neutral
chr1	16293283	16293284	rand_tiled_nonactive_44	neutral
chr1	16562957	16562958	rand_tiled_nonactive_45	neutral
chr1	19278696	19278697	hidraDriver_46	activating
chr1	19641486	19641487	rand_tiled_nonactive_46	neutral
chr1	20987548	20987549	rand_tiled_nonactive_48	neutral
chr1	21503615	21503616	rand_tiled_nonactive_49	neutral
chr1	21619365	21619366	rand_tiled_nonactive_50	neutral
chr1	21620838	21620839	rand_tiled_nonactive_51	neutral
chr1	22193124	22193125	rand_tiled_nonactive_54	neutral
chr1	22352431	22352432	hidraDriver_52	activating
chr1	23851068	23851069	rand_tiled_nonactive_56	neutral
chr1	23854709	23854710	rand_tiled_nonactive_57	neutral
chr1	24718597	24718598	hidraDriver_57	activating
chr1	25349036	25349037	hidraDriver_58	activating
chr1	25349593	25349594	hidraDriver_59	activating
chr1	25354552	25354553	rand_tiled_nonactive_65	neutral
chr1	25358366	25358367	rand_tiled_nonactive_66	neutral
chr1	25565887	25565888	rand_tiled_nonactive_67	neutral
chr1	26561736	26561737	rand_tiled_nonactive_69	neutral
chr1	26633535	26633536	rand_tiled_nonactive_70	neutral
chr1	26645505	26645506	rand_tiled_nonactive_72	neutral
chr1	27952019	27952020	hidraDriver_66	activating
chr1	27986300	27986301	hidraDriver_67	activating
chr1	28051416	28051417	rand_tiled_nonactive_83	neutral
