chrom	start	end	region_id	values
chr1	1373054	1373055	random_0	neutral
chr1	1566458	1566459	random_1	neutral
chr1	1838838	1838839	random_2	neutral
chr1	1927832	1927833	peak_2893	activating
chr1	2111974	2111975	peak_2386	activating
chr1	2115132	2115133	peak_1304	activating
chr1	3252207	3252208	random_3	neutral
chr1	3385197	3385198	random_4	neutral
chr1	3436339	3436340	random_5	neutral
chr1	3665011	3665012	random_6	neutral
chr1	4237609	4237610	peak_186	activating
chr1	4948871	4948872	random_7	neutral
chr1	5120759	5120760	random_8	neutral
chr1	5417228	5417229	random_9	neutral
chr1	5833255	5833256	random_10	neutral
chr1	5977961	5977962	peak_1353	activating
chr1	6100703	6100704	random_11	neutral
chr1	6509131	6509132	random_12	neutral
chr1	7052572	7052573	random_13	neutral
chr1	7066897	7066898	random_14	neutral
chr1	7166360	7166361	random_15	neutral
chr1	7252039	7252040	random_16	neutral
chr1	7327811	7327812	peak_1631	activating
chr1	7432788	7432789	peak_1655	activating
chr1	7462070	7462071	peak_921	activating
chr1	7861599	7861600	random_17	neutral
chr1	8037018	8037019	random_18	neutral
chr1	8289808	8289809	random_19	neutral
chr1	8419621	8419622	random_20	neutral
chr1	8586075	8586076	peak_2764	activating
chr1	8599446	8599447	random_21	neutral
chr1	8746386	8746387	random_22	neutral
chr1	9038566	9038567	random_23	neutral
chr1	9328585	9328586	random_24	neutral
chr1	9382090	9382091	random_25	neutral
chr1	9621816	9621817	random_26	neutral
chr1	9687838	9687839	random_27	neutral
chr1	10285875	10285876	random_28	neutral
chr1	10590500	10590501	random_29	neutral
chr1	10627873	10627874	random_30	neutral
chr1	10643956	10643957	peak_3337	activating
chr1	10723119	10723120	random_31	neutral
chr1	10792135	10792136	random_32	neutral
chr1	10818050	10818051	random_33	neutral
chr1	10856625	10856626	random_34	neutral
chr1	11021687	11021688	random_35	neutral
chr1	11196734	11196735	random_36	neutral
chr1	11271887	11271888	random_37	neutral
chr1	11431999	11432000	random_38	neutral
chr1	11534131	11534132	random_39	neutral
chr1	11606095	11606096	random_40	neutral
chr1	11858097	11858098	peak_2345	activating
chr1	11902475	11902476	peak_1325	activating
chr1	11928548	11928549	random_41	neutral
chr1	12319627	12319628	random_42	neutral
chr1	12471220	12471221	random_43	neutral
chr1	12509049	12509050	peak_3006	activating
chr1	12513254	12513255	random_44	neutral
chr1	12755179	12755180	random_45	neutral
chr1	12871239	12871240	peak_1871	activating
chr1	13125437	13125438	random_46	neutral
chr1	13190302	13190303	random_47	neutral
chr1	13219923	13219924	random_48	neutral
chr1	13506843	13506844	random_49	neutral
chr1	13682564	13682565	random_50	neutral
chr1	13856061	13856062	random_51	neutral
chr1	13874111	13874112	random_52	neutral
chr1	13950830	13950831	random_53	neutral
chr1	14080490	14080491	random_54	neutral
chr1	14110385	14110386	random_55	neutral
chr1	14273588	14273589	random_56	neutral
chr1	14357076	14357077	random_57	neutral
chr1	14707732	14707733	random_58	neutral
chr1	14763645	14763646	peak_697	activating
chr1	14891776	14891777	random_59	neutral
chr1	15104361	15104362	peak_533	activating
chr1	15123570	15123571	random_60	neutral
chr1	15275312	15275313	random_61	neutral
chr1	15286778	15286779	random_62	neutral
chr1	15295351	15295352	random_63	neutral
chr1	15622891	15622892	random_64	neutral
chr1	15813424	15813425	random_65	neutral
chr1	16219882	16219883	peak_562	activating
chr1	16264321	16264322	peak_923	activating
chr1	16279445	16279446	peak_164	activating
chr1	16283379	16283380	random_66	neutral
chr1	16452804	16452805	random_67	neutral
chr1	16489937	16489938	random_68	neutral
chr1	17341361	17341362	random_69	neutral
chr1	17496400	17496401	random_70	neutral
