chrom	start	end	region_id	values
chr1	10109	10110	Hepg2_13_79_chr1_10255	neutral
chr1	10161	10162	Huvec_11_12_chr1_10175	neutral
chr1	567601	567602	K562_24_6_chr1_567635	neutral
chr1	569561	569562	Hepg2_24_46_chr1_569555	neutral
chr1	928931	928932	Huvec_18_17_chr1_929015	neutral
chr1	993501	993502	K562_4_48_chr1_993495	neutral
chr1	1047966	1047967	K562_14_67_chr1_1048035	activating
chr1	1227436	1227437	H1hesc_8_35_chr1_1227375	neutral
chr1	1296131	1296132	K562_8_13_chr1_1296095	neutral
chr1	1369971	1369972	H1hesc_5_724_chr1_1369975	neutral
chr1	1623881	1623882	Huvec_9_237_chr1_1623915	neutral
chr1	1778701	1778702	Huvec_14_45_chr1_1778695	neutral
chr1	1813526	1813527	Hepg2_14_32_chr1_1813435	neutral
chr1	2170131	2170132	Hepg2_14_46_chr1_2170115	neutral
chr1	2187381	2187382	K562_5_853_chr1_2187375	activating
chr1	2201996	2201997	Hepg2_1_50_chr1_2202035	neutral
chr1	2237961	2237962	H1hesc_10_21_chr1_2238075	neutral
chr1	2313326	2313327	Hepg2_12_274_chr1_2313375	neutral
chr1	2323136	2323137	Huvec_1_148_chr1_2323135	activating
chr1	2379746	2379747	K562_20_27_chr1_2379735	neutral
chr1	2587721	2587722	Huvec_25_29_chr1_2587695	neutral
chr1	2838661	2838662	Hepg2_12_43_chr1_2838735	neutral
chr1	3157636	3157637	H1hesc_8_197_chr1_3157655	neutral
chr1	3210006	3210007	Hepg2_1_21_chr1_3209975	activating
chr1	3229866	3229867	K562_4_116_chr1_3229895	activating
chr1	3347986	3347987	H1hesc_12_360_chr1_3347995	neutral
chr1	3358126	3358127	Hepg2_5_92_chr1_3358195	neutral
chr1	3370606	3370607	H1hesc_5_212_chr1_3370615	neutral
chr1	3400631	3400632	Hepg2_12_381_chr1_3400555	neutral
chr1	3504676	3504677	Hepg2_13_90_chr1_3504655	neutral
chr1	3713106	3713107	Hepg2_1_2_chr1_3713095	activating
chr1	3786631	3786632	K562_5_73_chr1_3786635	activating
chr1	4363246	4363247	Huvec_11_10_chr1_4363235	neutral
chr1	4508181	4508182	H1hesc_8_397_chr1_4508235	neutral
chr1	4624216	4624217	H1hesc_23_12_chr1_4624315	neutral
chr1	5475941	5475942	H1hesc_12_35_chr1_5475895	neutral
