chrom	start	end	region_id	values
chr1	878781	878782	muerdter_7597	activating
chr1	886922	886923	random_0	neutral
chr1	999603	999604	muerdter_8640	activating
chr1	1077133	1077134	random_1	neutral
chr1	1107092	1107093	random_2	neutral
chr1	1171579	1171580	random_3	neutral
chr1	1200480	1200481	muerdter_1542	activating
chr1	1230756	1230757	random_4	neutral
chr1	1296905	1296906	random_5	neutral
chr1	1373054	1373055	random_6	neutral
chr1	1425338	1425339	random_7	neutral
chr1	1566458	1566459	random_8	neutral
chr1	1638363	1638364	random_9	neutral
chr1	1838838	1838839	random_10	neutral
chr1	1847031	1847032	random_11	neutral
chr1	2029825	2029826	muerdter_5954	activating
chr1	2111809	2111810	muerdter_2331	activating
chr1	2289980	2289981	random_12	neutral
chr1	2461628	2461629	random_13	neutral
chr1	2490758	2490759	random_14	neutral
chr1	2509298	2509299	muerdter_7355	activating
chr1	2701405	2701406	random_15	neutral
chr1	2797944	2797945	random_16	neutral
chr1	2912104	2912105	random_17	neutral
chr1	2976604	2976605	random_18	neutral
chr1	3007429	3007430	random_19	neutral
chr1	3051540	3051541	random_20	neutral
chr1	3148541	3148542	random_21	neutral
chr1	3174208	3174209	random_22	neutral
chr1	3174810	3174811	random_23	neutral
chr1	3385197	3385198	random_24	neutral
chr1	3436339	3436340	random_25	neutral
chr1	3506180	3506181	random_26	neutral
chr1	3546918	3546919	random_27	neutral
chr1	3675182	3675183	random_28	neutral
chr1	3693594	3693595	random_29	neutral
chr1	3694787	3694788	random_30	neutral
chr1	3727142	3727143	random_31	neutral
chr1	3769005	3769006	random_32	neutral
chr1	3775009	3775010	random_33	neutral
chr1	4011102	4011103	random_34	neutral
chr1	4077376	4077377	random_35	neutral
chr1	4168585	4168586	muerdter_7700	activating
chr1	4170338	4170339	random_36	neutral
chr1	4179113	4179114	random_37	neutral
chr1	4292149	4292150	random_38	neutral
chr1	4401751	4401752	random_39	neutral
chr1	4440781	4440782	muerdter_1517	activating
chr1	4645597	4645598	muerdter_927	activating
chr1	4653659	4653660	muerdter_9233	activating
chr1	4698225	4698226	muerdter_1196	activating
chr1	4729491	4729492	muerdter_1237	activating
chr1	4820792	4820793	random_40	neutral
chr1	4898313	4898314	random_41	neutral
chr1	4908083	4908084	muerdter_5492	activating
chr1	4948871	4948872	random_42	neutral
chr1	5088343	5088344	random_43	neutral
chr1	5120759	5120760	random_44	neutral
chr1	5158051	5158052	random_45	neutral
chr1	5279429	5279430	muerdter_4323	activating
chr1	5393458	5393459	muerdter_3837	activating
chr1	5409013	5409014	muerdter_1472	activating
chr1	5417228	5417229	random_46	neutral
chr1	5448796	5448797	muerdter_10051	activating
chr1	5613548	5613549	random_47	neutral
chr1	5662670	5662671	random_48	neutral
chr1	5770803	5770804	random_49	neutral
chr1	5833255	5833256	random_50	neutral
chr1	5890315	5890316	random_51	neutral
chr1	5923331	5923332	random_52	neutral
chr1	6027391	6027392	muerdter_3317	activating
chr1	6100703	6100704	random_53	neutral
chr1	6361927	6361928	muerdter_2364	activating
chr1	6385535	6385536	random_54	neutral
chr1	6446480	6446481	random_55	neutral
chr1	6476538	6476539	random_56	neutral
chr1	6507453	6507454	random_57	neutral
chr1	6509131	6509132	random_58	neutral
chr1	6602689	6602690	random_59	neutral
chr1	6687498	6687499	random_60	neutral
chr1	6757273	6757274	random_61	neutral
chr1	6784819	6784820	muerdter_7550	activating
chr1	6855364	6855365	muerdter_4458	activating
