chrom	start	end	region_id	values
chr1	10109	10110	Hepg2_13_79_chr1_10255	neutral
chr1	10161	10162	Huvec_11_12_chr1_10175	neutral
chr1	569651	569652	Hepg2_24_46_chr1_569555	neutral
chr1	929011	929012	Huvec_18_17_chr1_929015	neutral
chr1	993466	993467	K562_4_48_chr1_993495	neutral
chr1	1047966	1047967	K562_14_67_chr1_1048035	activating
chr1	1227401	1227402	H1hesc_8_35_chr1_1227375	neutral
chr1	1296131	1296132	K562_8_13_chr1_1296095	neutral
chr1	1307501	1307502	Hepg2_12_180_chr1_1307595	neutral
chr1	1474716	1474717	H1hesc_4_34_chr1_1474735	neutral
chr1	1623976	1623977	Huvec_9_237_chr1_1623915	activating
chr1	1714320	1714321	Huvec_5_1078_chr1_1714355	neutral
chr1	1778686	1778687	Huvec_14_45_chr1_1778695	neutral
chr1	1935341	1935342	K562_4_120_chr1_1935235	neutral
chr1	2170216	2170217	Hepg2_14_46_chr1_2170115	neutral
chr1	2187381	2187382	K562_5_853_chr1_2187375	activating
chr1	2238056	2238057	H1hesc_10_21_chr1_2238075	neutral
chr1	2313366	2313367	Hepg2_12_274_chr1_2313375	neutral
chr1	2323121	2323122	Huvec_1_148_chr1_2323135	activating
chr1	2379781	2379782	K562_20_27_chr1_2379735	activating
chr1	2838676	2838677	Hepg2_12_43_chr1_2838735	neutral
chr1	3157691	3157692	H1hesc_8_197_chr1_3157655	activating
chr1	3209901	3209902	Hepg2_1_21_chr1_3209975	neutral
chr1	3229866	3229867	K562_4_116_chr1_3229895	activating
chr1	3348041	3348042	H1hesc_12_360_chr1_3347995	neutral
chr1	3358201	3358202	Hepg2_5_92_chr1_3358195	neutral
chr1	3370706	3370707	H1hesc_5_212_chr1_3370615	neutral
chr1	3400626	3400627	Hepg2_12_381_chr1_3400555	neutral
chr1	3504546	3504547	Hepg2_13_90_chr1_3504655	neutral
chr1	3713121	3713122	Hepg2_1_2_chr1_3713095	activating
chr1	3786611	3786612	K562_5_73_chr1_3786635	neutral
chr1	4363101	4363102	Huvec_11_10_chr1_4363235	neutral
chr1	4508166	4508167	H1hesc_8_397_chr1_4508235	neutral
chr1	4624221	4624222	H1hesc_23_12_chr1_4624315	neutral
chr1	5611811	5611812	K562_9_223_chr1_5611835	neutral
chr1	5891051	5891052	H1hesc_8_582_chr1_5890955	neutral
