chrom	start	end	region_id	values
chr1	3691528	3691529	genic|chr1:3691325-3691845	activating
chr1	29210625	29210626	intergenic|chr1:29210325-29210825	activating
chr1	29211610	29211611	intergenic|chr1:29210885-29211925	activating
chr11	3429895	3429896	genic|chr11:3429445-3430345	neutral
chr11	3601055	3601056	intergenic|chr11:3600805-3601305	neutral
chr11	3631075	3631076	intergenic|chr11:3630805-3631345	neutral
chr11	3915615	3915616	genic|chr11:3915325-3915905	neutral
chr11	3998445	3998446	genic|chr11:3998165-3998725	neutral
chr11	4006335	4006336	genic|chr11:4006085-4006585	neutral
chr11	4015395	4015396	genic|chr11:4015145-4015645	neutral
chr11	4205975	4205976	intergenic|chr11:4205725-4206225	neutral
chr11	4560955	4560956	intergenic|chr11:4560705-4561205	neutral
chr11	4913435	4913436	intergenic|chr11:4913165-4913705	neutral
chr11	5150795	5150796	intergenic|chr11:5150525-5151065	neutral
chr11	5153265	5153266	promoter|chr11:5153005-5153525	neutral
chr11	5226225	5226226	intergenic|chr11:5225965-5226485	neutral
chr11	5297215	5297216	intergenic|chr11:5296965-5297465	activating
chr11	5300135	5300136	intergenic|chr11:5299865-5300405	activating
chr11	5306015	5306016	intergenic|chr11:5305765-5306265	activating
chr11	5309525	5309526	intergenic|chr11:5309265-5309785	activating
chr11	5312655	5312656	intergenic|chr11:5312405-5312905	neutral
chr11	5356605	5356606	intergenic|chr11:5356345-5356865	neutral
chr11	5602300	5602301	promoter|chr11:5601856-5602745	neutral
chr11	5621745	5621746	genic|chr11:5621485-5622005	neutral
chr11	6337255	6337256	intergenic|chr11:6337005-6337505	neutral
chr11	6768675	6768676	intergenic|chr11:6768425-6768925	neutral
chr11	6948155	6948156	promoter|chr11:6947905-6948405	neutral
chr12	54090235	54090236	intergenic|chr12:54089985-54090485	neutral
chr12	54095735	54095736	intergenic|chr12:54095465-54096005	neutral
chr12	54113625	54113626	genic|chr12:54113365-54113885	neutral
chr12	54120265	54120266	genic|chr12:54120005-54120525	neutral
chr12	54121351	54121352	promoter|chr12:54121057-54121645	neutral
chr12	54137555	54137556	intergenic|chr12:54137285-54137825	neutral
chr12	54140595	54140596	intergenic|chr12:54140345-54140845	neutral
chr12	54145535	54145536	promoter|chr12:54145285-54145785	neutral
chr12	54150976	54150977	promoter|chr12:54150568-54151385	neutral
chr12	54161645	54161646	intergenic|chr12:54161385-54161905	neutral
chr12	54185695	54185696	intergenic|chr12:54185445-54185945	neutral
chr12	54202965	54202966	intergenic|chr12:54202705-54203225	neutral
chr12	54332495	54332496	promoter|chr12:54332165-54332825	neutral
chr12	54335685	54335686	genic|chr12:54335385-54335985	neutral
chr12	54338725	54338726	genic|chr12:54338465-54338985	neutral
chr12	54342865	54342866	intergenic|chr12:54342605-54343125	neutral
chr12	54343525	54343526	intergenic|chr12:54343245-54343805	neutral
chr12	54344315	54344316	intergenic|chr12:54344065-54344565	neutral
chr12	54357445	54357446	genic|chr12:54357185-54357705	neutral
chr12	54358035	54358036	genic|chr12:54357725-54358345	neutral
chr12	54379059	54379060	promoter|chr12:54378565-54379553	neutral
chr12	54381805	54381806	genic|chr12:54381545-54382065	neutral
chr12	54383055	54383056	genic|chr12:54382805-54383305	neutral
chr12	54389365	54389366	genic|chr12:54389105-54389625	neutral
chr12	54393668	54393669	promoter|chr12:54393185-54394152	neutral
chr12	54398035	54398036	intergenic|chr12:54397785-54398285	neutral
chr12	54399915	54399916	intergenic|chr12:54399665-54400165	neutral
chr12	54402889	54402890	promoter|chr12:54402639-54403139	neutral
chr12	54411805	54411806	genic|chr12:54411545-54412065	neutral
chr12	54412615	54412616	genic|chr12:54412345-54412885	neutral
chr12	54422185	54422186	promoter|chr12:54421925-54422445	neutral
chr12	54426663	54426664	promoter|chr12:54426245-54427081	neutral
chr12	54434085	54434086	genic|chr12:54433825-54434345	neutral
chr12	54447660	54447661	promoter|chr12:54447410-54447910	neutral
chr12	54474995	54474996	promoter|chr12:54474725-54475265	neutral
chr12	54476535	54476536	genic|chr12:54476285-54476785	neutral
chr12	54477915	54477916	genic|chr12:54477645-54478185	neutral
chr12	54486925	54486926	genic|chr12:54486645-54487205	neutral
chr12	54533015	54533016	intergenic|chr12:54532765-54533265	neutral
chr12	54553125	54553126	intergenic|chr12:54552865-54553385	neutral
chr12	54555645	54555646	intergenic|chr12:54555385-54555905	neutral
chr12	54563025	54563026	intergenic|chr12:54562745-54563305	neutral
chr12	54569375	54569376	intergenic|chr12:54569125-54569625	neutral
chr12	54582826	54582827	promoter|chr12:54582528-54583125	neutral
chr12	54585515	54585516	intergenic|chr12:54585265-54585765	neutral
chr12	54589735	54589736	intergenic|chr12:54589485-54589985	neutral
chr12	54591535	54591536	intergenic|chr12:54591285-54591785	neutral
chr12	54595305	54595306	intergenic|chr12:54595045-54595565	neutral
chr12	54601745	54601746	intergenic|chr12:54601485-54602005	neutral
chr12	54603855	54603856	intergenic|chr12:54603585-54604125	neutral
chr12	54608655	54608656	intergenic|chr12:54608405-54608905	neutral
chr12	54609595	54609596	intergenic|chr12:54609345-54609845	neutral
chr12	54614035	54614036	intergenic|chr12:54613765-54614305	neutral
chr12	54621365	54621366	intergenic|chr12:54621105-54621625	neutral
chr12	54621975	54621976	intergenic|chr12:54621725-54622225	neutral
chr12	54645655	54645656	genic|chr12:54645365-54645945	neutral
chr12	54653382	54653383	promoter|chr12:54653079-54653685	neutral
chr12	54655835	54655836	genic|chr12:54655565-54656105	neutral
chr12	54656465	54656466	genic|chr12:54656205-54656725	neutral
chr12	54659895	54659896	genic|chr12:54659645-54660145	neutral
chr12	54677055	54677056	genic|chr12:54676805-54677305	neutral
chr12	54679875	54679876	genic|chr12:54679625-54680125	neutral
